Cultivar,Culture,Location,Pflanzen/Parzelle,mean_Knollenmasse_kgFW,median_Knollenmasse_kgFW,cv_Knollenmasse_kgFW,mean_Staerkegehalt_g/kg,median_Staerkegehalt_g/kg,cv_Staerkegehalt_g/kg,mean_Staerkeertrag_g/plant,median_Staerkeertrag_g/plant,cv_Staerkeertrag_g/plant,mean_Staerkeertrag_kg/ha,median_Staerkeertrag_kg/ha,cv_Staerkeertrag_kg/ha,Dev_Staerkeertrag_median_plant,Dev_Staerkeertrag_median_ha
2874,47110,5546,20,19.35,19.35,0.0697674418605,216.0,216.0,0.0185185185185,208.71,208.71,0.0513152220785,6957.0,6957.0,0.0513152220785,39.615,1320.5
2874,47111,5540,16,15.05,15.05,0.0431893687708,230.5,230.5,0.00216919739696,216.79375,216.79375,0.0410240147606,9635.27777778,9635.27777778,0.0410240147606,138.09375,6137.5
2874,47112,5542,20,29.85,29.85,0.0653266331658,209.5,209.5,0.00238663484487,312.7275,312.7275,0.0677027124254,13899.0,13899.0,0.0677027124254,36.0275,1601.22222222
2874,47114,5543,16,19.55,19.55,0.0997442455243,196.0,196.0,0.030612244898,238.75625,238.75625,0.0693437344572,9646.71717172,9646.71717172,0.0693437344572,-25.803125,-1042.55050505
2874,47115,5539,20,19.2,19.2,0.0416666666667,211.0,211.0,0.0473933649289,202.96,202.96,0.0888845092629,9020.44444444,9020.44444444,0.0888845092629,49.99,2221.77777778
2874,47117,5545,20,25.425,25.425,0.0501474926254,217.0,217.0,0.0138248847926,275.67,275.67,0.0363478071607,11138.1818182,11138.1818182,0.0363478071607,76.97125,3109.94949495
2875,47107,5544,20,20.75,20.75,0.0939759036145,239.5,239.5,0.00208768267223,248.4325,248.4325,0.0919062522013,10037.6767677,10037.6767677,0.0919062522013,65.125,2631.31313131
2875,47109,5541,16,21.0,21.0,0.0952380952381,191.5,191.5,0.0339425587467,250.53125,250.53125,0.0614943245603,11134.7222222,11134.7222222,0.0614943245603,-8.3875,-372.777777778
2875,47110,5546,20,27.4,27.4,0.029197080292,188.5,188.5,0.0079575596817,258.185,258.185,0.0212444564944,8606.16666667,8606.16666667,0.0212444564944,-9.86,-328.666666667
2875,47111,5540,16,22.7,22.7,0.118942731278,218.5,218.5,0.0343249427918,311.2625,311.2625,0.15264447211,13833.8888889,13833.8888889,0.15264447211,43.625,1938.88888889
2875,47112,5542,20,35.9,35.9,0.0779944289694,199.5,199.5,0.0325814536341,359.0125,359.0125,0.110295602521,15956.1111111,15956.1111111,0.110295602521,-10.2575,-455.888888889
2875,47114,5543,16,22.25,22.25,0.334831460674,187.5,187.5,0.0133333333333,261.90625,261.90625,0.346617348765,10582.0707071,10582.0707071,0.346617348765,-48.953125,-1977.9040404
2875,47115,5539,20,30.35,30.35,0.143327841845,197.0,197.0,0.0152284263959,299.6,299.6,0.158210947931,13315.5555556,13315.5555556,0.158210947931,-46.65,-2073.33333333
2875,47117,5545,20,36.925,36.925,0.0101557210562,185.0,185.0,0.027027027027,341.4625,341.4625,0.0168759380605,13796.4646465,13796.4646465,0.0168759380605,11.17875,451.666666667
2876,47107,5544,20,26.2,26.2,0.0267175572519,201.0,201.0,0.0348258706468,263.065,263.065,0.00811586490031,10628.8888889,10628.8888889,0.00811586490031,50.4925,2040.1010101
2876,47109,5541,16,16.3,16.3,0.0368098159509,175.0,175.0,0.00571428571429,178.31875,178.31875,0.0425151589499,7925.27777778,7925.27777778,0.0425151589499,63.825,2836.66666667
2876,47110,5546,20,23.1,23.1,0.108225108225,155.5,155.5,0.0225080385852,179.165,179.165,0.0859263807105,5972.16666667,5972.16666667,0.0859263807105,69.16,2305.33333333
2876,47111,5540,16,25.2,25.2,0.031746031746,188.0,188.0,0.0159574468085,296.25,296.25,0.0476793248945,13166.6666667,13166.6666667,0.0476793248945,58.6375,2606.11111111
2876,47112,5542,20,37.05,37.05,0.0391363022942,163.0,163.0,0.0306748466258,302.32,302.32,0.069727441122,13436.4444444,13436.4444444,0.069727441122,46.435,2063.77777778
2876,47114,5543,16,16.05,16.05,0.115264797508,157.5,157.5,0.015873015873,158.28125,158.28125,0.130898321816,6395.2020202,6395.2020202,0.130898321816,54.671875,2208.96464646
2876,47115,5539,20,23.1,23.1,0.004329004329,158.5,158.5,0.0283911671924,183.045,183.045,0.0240651205988,8135.33333333,8135.33333333,0.0240651205988,69.905,3106.88888889
2876,47117,5545,20,32.875,32.875,0.00988593155894,172.0,172.0,0.0116279069767,282.6925,282.6925,0.00174217568559,11421.9191919,11421.9191919,0.00174217568559,69.94875,2826.21212121
2877,47107,5544,20,31.7,31.7,0.0252365930599,250.5,250.5,0.0059880239521,396.9825,396.9825,0.0192514783397,16039.6969697,16039.6969697,0.0192514783397,-83.425,-3370.70707071
