Cultivar,mean_Knollenmasse_kgFW,median_Knollenmasse_kgFW,cv_Knollenmasse_kgFW,mean_Staerkegehalt_g/kg,median_Staerkegehalt_g/kg,cv_Staerkegehalt_g/kg,mean_Staerkeertrag_g/plant,median_Staerkeertrag_g/plant,cv_Staerkeertrag_g/plant,mean_StaerkeertragRel,median_StaerkeertragRel,cv_StaerkeertragRel,mean_Staerkeertrag_kg/ha,median_Staerkeertrag_kg/ha,cv_Staerkeertrag_kg/ha
2853,23.821875,20.8,0.258684650761,210.6875,206.25,0.094316766116,271.7840625,265.281875,0.246085402742,0.99179952104,0.96807161592,0.246085402742,11384.4261364,11272.0580808,0.286067314542
2854,28.359375,28.6,0.292744502166,170.0,166.5,0.0866898979599,257.582734375,266.0675,0.254623044002,0.969686729441,1.001628174,0.254623044002,10712.4829545,10871.8737374,0.275592722925
2855,30.446875,29.875,0.207335426278,192.5625,188.0,0.0899421910935,314.703203125,312.16125,0.155894108236,0.940465306313,0.932868883078,0.155894108236,13168.7815657,13873.8333333,0.20950649398
2856,31.246875,31.1,0.245875416298,202.75,200.75,0.0688189704679,341.67078125,324.86625,0.231900010961,1.04308642376,0.991783885272,0.231900010961,14236.4895833,13966.2121212,0.25574768945
2857,32.11875,30.825,0.224163987632,186.6875,185.25,0.0712256539001,321.288828125,322.5328125,0.159277422799,0.986910852788,0.99073203041,0.159277422799,13429.1268939,13031.6287879,0.206594956697
2858,31.009375,30.95,0.183828610309,217.4375,214.25,0.0793534472933,365.656796875,365.67125,0.187638281232,1.0523103398,1.05235193392,0.187638281232,15192.2869318,15016.2247475,0.212847272772
2859,32.34375,33.775,0.23243147944,193.6875,187.25,0.0795867740913,335.54359375,339.53125,0.184745054059,0.986189537609,0.997909579197,0.184745054059,13967.9068813,13864.8838384,0.217407318281
2860,36.953125,35.675,0.225342909575,179.6875,175.75,0.0572963641598,357.10484375,362.1525,0.1805984898,1.04623880275,1.06102732753,0.1805984898,14871.2127525,14874.4381313,0.210661375988
2861,31.125,32.525,0.233334370181,197.125,189.75,0.0921345904193,329.745859375,324.9425,0.216335741578,0.980350699038,0.966070074772,0.216335741578,13682.6720328,14115.7222222,0.231948980717
2862,25.546875,25.75,0.16314388268,202.4375,199.75,0.099038275613,278.311015625,275.595,0.118563104983,0.98908870305,0.979436263077,0.118563104983,11581.9457071,11746.2575758,0.154800905086
2863,29.390625,31.8875,0.189243319423,201.4375,199.75,0.0584815618232,320.516171875,323.195625,0.188489435747,1.03454887028,1.04319749849,0.188489435747,13376.7840909,13532.5,0.233372101327
2864,29.459375,29.05,0.271265200172,194.375,188.5,0.0857382098133,308.964375,306.71625,0.256940204814,1.03520392351,1.02767144401,0.256940204814,12903.4277146,12905.6313131,0.286885338218
2865,27.6625,29.425,0.258156075966,232.0625,235.0,0.0866365525233,345.340234375,367.060625,0.235730196843,0.980244775404,1.04189788533,0.235730196843,14373.1306818,15504.4191919,0.263704980705
2866,30.403125,31.4,0.230427524608,195.625,194.75,0.101858326415,321.944140625,324.68,0.241449873028,0.992743208397,1.00117947255,0.241449873028,13427.7506313,13581.4141414,0.272900802245
2867,25.85,26.575,0.182031542782,211.9375,210.0,0.0772380147621,296.189296875,300.565625,0.171606410242,0.953849339415,0.967942886126,0.171606410242,12373.7556818,12692.540404,0.212220838444
2868,25.878125,25.85,0.237909267682,198.25,195.0,0.0948378092155,277.471875,265.895,0.236330389621,1.06946184236,1.02484100983,0.236330389621,11514.4349747,10901.4027778,0.249308203848
2869,29.621875,28.275,0.283329660313,186.125,182.5,0.0750952414224,298.30734375,294.4415625,0.274192242588,1.00396027421,0.990949897877,0.274192242588,12525.0457702,12449.0593434,0.321382848244
2870,26.275,23.975,0.247297430703,206.125,207.25,0.0920473217787,289.812421875,268.014375,0.189946053384,1.03577264148,0.957867697153,0.189946053384,12114.6281566,11911.75,0.233842511696
2871,23.61875,21.9,0.237837984075,174.1875,169.0,0.0982474457847,220.388515625,215.6425,0.18251043018,1.01324559211,0.991425583026,0.18251043018,9195.61395202,9101.54040404,0.216245020963
2872,22.159375,21.7,0.23574186947,182.25,180.25,0.0991931752526,215.306015625,220.735,0.17851012423,1.02568189803,1.05154467284,0.17851012423,8950.27967172,9048.56565657,0.207403571299
2873,21.634375,20.2,0.296818566426,186.75,180.5,0.0977883928661,213.886484375,204.6421875,0.210719717684,1.05111994164,1.0056899332,0.210719717684,8926.69633838,9095.20833333,0.242219826262
2874,20.178125,19.275,0.234810463757,218.0,216.5,0.0585424266885,235.907734375,227.775,0.168046424919,1.05342406017,1.01710809076,0.168046424919,9842.40751263,9640.99747475,0.211022566351
2875,27.159375,25.05,0.227348565571,200.875,194.25,0.0878513961578,291.2990625,280.753125,0.138538598844,1.08450374859,1.04524131961,0.138538598844,12157.8320707,12225.1388889,0.188238941977
2876,24.984375,24.15,0.272827324025,171.3125,167.5,0.0887183109629,230.3921875,223.055,0.247876402924,1.01162347143,0.979406792685,0.247876402924,9635.23737374,9382.11111111,0.284676983083
2877,32.09375,30.4,0.236366934175,201.875,201.0,0.10637006788,351.83125,356.085,0.232966405188,0.994800944383,1.00682839936,0.232966405188,14751.686553,15024.0151515,0.267765304754
2878,30.04375,28.5,0.25718350674,183.1875,179.75,0.0870210906674,295.788125,299.285,0.219320002723,1.01712687946,1.02915158653,0.219320002723,12345.1117424,12686.959596,0.24883563069
2879,31.0875,30.3,0.217088485983,195.9375,197.0,0.104597479504,328.880546875,331.1271875,0.217655598215,1.0071272381,1.01400710068,0.217655598215,13675.3175505,14227.3888889,0.237191691812
2880,32.6,33.85,0.245878796235,204.25,199.75,0.106184236937,356.33234375,371.170625,0.216072607721,0.942890183639,0.982153725044,0.216072607721,14822.2853535,15798.459596,0.238880077972
2881,31.44375,28.85,0.280289649645,193.75,187.5,0.0792787466287,326.84,316.30875,0.23758889452,1.0455534229,1.01186420345,0.23758889452,13576.2976641,12065.7007576,0.257733278999
2882,24.9125,25.35,0.195467992541,199.0625,199.0,0.110442656599,266.43640625,284.4884375,0.164861662792,0.946803442532,1.010952804,0.164861662792,11119.5681818,12174.9090909,0.203437706234
2673,30.825,30.35,0.252579537803,147.8125,144.0,0.0998736513459,243.71578125,256.280625,0.185522710536,0.920968073348,0.96844887201,0.185522710536,10202.0296717,10627.2979798,0.222196202774
2674,35.49375,32.825,0.2912988644,131.4375,130.0,0.102276915805,251.792578125,253.93875,0.270896317045,0.992422908086,1.00088189504,0.270896317045,10554.7222222,11286.1666667,0.294964213487
2675,28.515625,27.85,0.181652455425,174.25,171.75,0.0700078789025,267.1446875,278.631875,0.12441129871,0.972071492249,1.01387044247,0.12441129871,11098.0094697,11257.8535354,0.156222978214
382,26.521875,26.775,0.302990309585,142.125,144.25,0.0991583735625,203.555234375,231.259375,0.280761563078,0.953040870731,1.08275101248,0.280761563078,8555.75789141,9924.36868687,0.308410467489
