"Culture_ID"	"Plant_ID"	"Subspecies"	55	69	188	190	191
44443	989546	"[St.Tomba.n].5"			8.844	228	2.016432
44443	989547	"[St.Tomba.n].6"			7.604	207	1.574028
44443	989548	"[St.Tomba.n].7"			8.22	217	1.78374
44443	989549	"[St.Tomba.n].8"			7.394	201	1.486194
44443	989550	"[St.Jumbo.n].1"			9.654	222	2.143188
44443	989551	"[St.Jumbo.n].2"			6.848	187	1.280576
44443	989552	"[St.Jumbo.n].3"			11.326	214	2.423764
44443	989553	"[St.Jumbo.n].4"			8.504	204	1.734816
44443	989554	"[St.Jumbo.n].5"			10.816	217	2.347072
44443	989555	"[St.Jumbo.n].6"			9.978	200	1.9956
44443	989556	"[St.Jumbo.n].7"			11.81	218	2.57458
44443	989557	"[St.Jumbo.n].8"			7.074	202	1.428948
44443	989558	"[St.Logo.n].1"			8.772	254	2.228088
44443	989559	"[St.Logo.n].2"			6.342	234	1.484028
44443	989560	"[St.Logo.n].3"			7.55	236	1.7818
44443	989561	"[St.Logo.n].4"			5.838	258	1.506204
44443	989562	"[St.Logo.n].5"			6.5	247	1.6055
44443	989563	"[St.Logo.n].6"			4.846	229	1.109734
44443	989564	"[St.Logo.n].7"			7.566	245	1.85367
44443	989565	"[St.Logo.n].8"			5.056	243	1.228608
44443	989566	"[St.Maxi.n].1"			9.062	206	1.866772
44443	989567	"[St.Maxi.n].2"			6.832	189	1.291248
44443	989568	"[St.Maxi.n].3"			9.17	217	1.98989
44443	989569	"[St.Maxi.n].4"			7.64	192	1.46688
44443	989570	"[St.Maxi.n].5"			8.602	217	1.866634
44443	989571	"[St.Maxi.n].6"			6.62	194	1.28428
44443	989572	"[St.Maxi.n].7"			9.518	197	1.875046
44443	989573	"[St.Maxi.n].8"			7.788	186	1.448568
44443	989574	"[St.Power.n].1"			8.556	251	2.147556
44443	989575	"[St.Power.n].2"			6.08	227	1.38016
44443	989576	"[St.Power.n].3"			9.376	251	2.353376
44443	989577	"[St.Power.n].4"			7.156	217	1.552852
44443	989578	"[St.Power.n].5"			7.058	241	1.700978
44443	989579	"[St.Power.n].6"			7.154	225	1.60965
44443	989580	"[St.Power.n].7"			6.754	228	1.539912
44443	989581	"[St.Power.n].8"			7	220	1.54
44443	989582	"[St.Sommergold.n].1"			8.65	230	1.9895
44443	989583	"[St.Sommergold.n].2"			6.82	217	1.47994
44443	989584	"[St.Sommergold.n].3"			8.122	224	1.819328
44443	989585	"[St.Sommergold.n].4"			6.732	205	1.38006
44443	989586	"[St.Sommergold.n].5"			7.658	236	1.807288
44443	989587	"[St.Sommergold.n].6"			5.7	207	1.1799
44443	989588	"[St.Sommergold.n].7"			8.314	243	2.020302
44443	989589	"[St.Sommergold.n].8"			7.376	211	1.556336
44443	989590	"[St.Jasira.n].1"			9.094	194	1.764236
44443	989591	"[St.Jasira.n].2"			8.852	197	1.743844
44443	989592	"[St.Jasira.n].3"			11.134	213	2.371542
44443	989593	"[St.Jasira.n].4"			7.678	194	1.489532
44443	989594	"[St.Jasira.n].5"			11.476	194	2.226344
44443	989595	"[St.Jasira.n].6"			9.742	202	1.967884
44443	989596	"[St.Jasira.n].7"			8.838	205	1.81179
44443	989597	"[St.Jasira.n].8"			6.92	202	1.39784
44443	989598	"[St.Desiree.n].1034"			7.32	162	1.18584
44443	989599	"[St.Desiree.n].1035"			5.278	156	0.823368
44443	989600	"[St.Desiree.n].1036"			5.836	162	0.945432
44443	989601	"[St.Desiree.n].1037"			5.366	148	0.794168
44443	989602	"[St.Desiree.n].1038"			6.236	165	1.02894
44443	989603	"[St.Desiree.n].1039"			8.074	148	1.194952
44443	989604	"[St.Desiree.n].1040"			6.518	172	1.121096
44443	989605	"[St.Desiree.n].1041"			5.204	138	0.718152
44443	989606	"[St.Albatros.n].1"			7.542	243	1.832706
44443	989607	"[St.Albatros.n].2"			7.894	227	1.791938
44443	989608	"[St.Albatros.n].3"			7.88	243	1.91484
44443	989609	"[St.Albatros.n].4"			6.824	230	1.56952
44443	989610	"[St.Albatros.n].5"			6.83	247	1.68701
44443	989611	"[St.Albatros.n].6"			7.848	217	1.703016
44443	989612	"[St.Albatros.n].7"			7.82	240	1.8768
44443	989613	"[St.Albatros.n].8"			7.644	230	1.75812
44443	989614	"[St.Alegria.n].14"			8.87	177	1.56999
44443	989615	"[St.Alegria.n].15"			7.55	152	1.1476
44443	989616	"[St.Alegria.n].16"			8.72	185	1.6132
44443	989617	"[St.Alegria.n].17"			6.762	157	1.061634
44443	989618	"[St.Alegria.n].18"			8.44	183	1.54452
44443	989619	"[St.Alegria.n].19"			7.67	154	1.18118
44443	989620	"[St.Alegria.n].20"			10.856	178	1.932368
44443	989621	"[St.Alegria.n].21"			8.924	174	1.552776
44443	989622	"[St.Karlena.n].1"			7.224	225	1.6254
44443	989623	"[St.Karlena.n].2"			5.146	179	0.921134
44443	989624	"[St.Karlena.n].3"			7.024	189	1.327536
44443	989625	"[St.Karlena.n].4"			7.652	182	1.392664
44443	989626	"[St.Karlena.n].5"			7.412	206	1.526872
44443	989627	"[St.Karlena.n].6"			5.22	183	0.95526
44443	989628	"[St.Karlena.n].7"			6.918	203	1.404354
44443	989629	"[St.Karlena.n].8"			6.628	182	1.206296
44443	989630	"[St.Kiebitz.n].1"			6.192	185	1.14552
44443	989631	"[St.Kiebitz.n].2"			4.956	180	0.89208
44443	989632	"[St.Kiebitz.n].3"			5.612	206	1.156072
