Cultivar,Culture,Location,Pflanzen/Parzelle,mean_Knollenmasse_kgFW,median_Knollenmasse_kgFW,cv_Knollenmasse_kgFW,mean_Staerkegehalt_g/kg,median_Staerkegehalt_g/kg,cv_Staerkegehalt_g/kg,mean_Staerkeertrag_g/plant,median_Staerkeertrag_g/plant,cv_Staerkeertrag_g/plant,mean_Staerkeertrag_kg/ha,median_Staerkeertrag_kg/ha,cv_Staerkeertrag_kg/ha,Dev_Staerkeertrag_median_plant,Dev_Staerkeertrag_median_ha
382,56876,5545,20,28.2,28.2,0.0283687943262,142.0,142.0,0.0140845070423,200.14,200.14,0.0142899970021,8086.46464646,8086.46464646,0.0142899970021,105.9475,4280.70707071
382,56877,5519,31,55.9,55.9,0.11091234347,169.978864082,169.978864082,0.00753058708456,306.766282391,306.766282391,0.118344085426,12394.5972683,12394.5972683,0.118344085426,12.524135117,506.025661293
382,56878,5544,20,37.6,37.6,0.00265957446809,137.0,137.0,0.0,257.56,257.56,0.00265957446809,10406.4646465,10406.4646465,0.00265957446809,79.485,3211.51515152
382,56879,5541,12,16.8,16.8,0.136904761905,162.5,162.5,0.00923076923077,227.7875,227.7875,0.145951087454,10123.8888889,10123.8888889,0.145951087454,16.2916666667,724.074074074
382,56880,5546,20,21.35,21.35,0.0515222482436,144.0,144.0,0.0138888888889,153.83,153.83,0.0653643632581,5127.66666667,5127.66666667,0.0653643632581,117.91,3930.33333333
382,56881,5540,16,23.3,23.3,0.0772532188841,178.0,178.0,0.0112359550562,259.4375,259.4375,0.0884124307396,11530.5555556,11530.5555556,0.0884124307396,13.646875,606.527777778
382,56882,5542,20,24.25,24.25,0.0309278350515,183.0,183.0,0.0382513661202,222.15,222.15,0.0690974566734,9873.33333333,9873.33333333,0.0690974566734,18.985,843.777777778
382,56883,5543,16,12.9,12.9,0.0697674418605,127.0,127.0,0.165354330709,103.575,103.575,0.232440260681,4184.84848485,4184.84848485,0.232440260681,99.96875,4039.14141414
382,56884,5539,20,30.25,30.25,0.00165289256198,163.0,163.0,0.00613496932515,246.535,246.535,0.00448212221388,10957.1111111,10957.1111111,0.00448212221388,47.8525,2126.77777778
2673,56876,5545,20,35.6,35.6,0.109550561798,148.5,148.5,0.010101010101,264.0375,264.0375,0.0995597216305,10668.1818182,10668.1818182,0.0995597216305,42.05,1698.98989899
2673,56877,5519,31,45.025,45.025,0.0627429205997,147.965677292,147.965677292,0.0020001430495,214.881243684,214.881243684,0.0607504014106,8682.07045187,8682.07045187,0.0607504014106,104.409173824,4218.55247773
2673,56878,5544,20,30.45,30.45,0.0246305418719,141.0,141.0,0.0709219858156,215.0475,215.0475,0.0953859031144,8688.78787879,8688.78787879,0.0953859031144,121.9975,4929.19191919
2673,56879,5541,12,14.55,14.55,0.0103092783505,138.0,138.0,0.0144927536232,167.35,167.35,0.0247983268599,7437.77777778,7437.77777778,0.0247983268599,76.7291666667,3410.18518519
2673,56880,5546,20,27.2,27.2,0.0496323529412,164.0,164.0,0.030487804878,222.7025,222.7025,0.019173561141,7423.41666667,7423.41666667,0.019173561141,49.0375,1634.58333333
2673,56881,5540,16,21.15,21.15,0.0921985815603,157.0,157.0,0.0191082802548,207.16875,207.16875,0.0732192958639,9207.5,9207.5,0.0732192958639,65.915625,2929.58333333
2673,56882,5542,20,20.4,20.4,0.156862745098,207.0,207.0,0.183574879227,205.06,205.06,0.0275041451283,9113.77777778,9113.77777778,0.0275041451283,36.075,1603.33333333
2673,56883,5543,16,24.4,24.4,0.00819672131148,142.0,142.0,0.056338028169,216.65,216.65,0.0645049619201,8753.53535354,8753.53535354,0.0645049619201,-13.10625,-529.545454545
2673,56884,5539,20,33.5,33.5,0.0567164179104,175.0,175.0,0.0,293.125,293.125,0.0567164179104,13027.7777778,13027.7777778,0.0567164179104,1.2625,56.1111111111
2674,56876,5545,20,43.025,43.025,0.0203370133643,156.0,156.0,0.0128205128205,335.5075,335.5075,0.00751846083918,13555.8585859,13555.8585859,0.00751846083918,-29.42,-1188.68686869
2674,56877,5519,31,61.6,61.6,0.0251623376623,149.823490033,149.823490033,0.0474644857721,298.069338489,298.069338489,0.0725401874251,12043.2055955,12043.2055955,0.0725401874251,21.2210790193,857.417334111
2674,56878,5544,20,50.15,50.15,0.0667996011964,148.0,148.0,0.0405405405405,372.115,372.115,0.107050239845,15034.9494949,15034.9494949,0.107050239845,-35.07,-1416.96969697
2674,56879,5541,12,16.55,16.55,0.0332326283988,148.5,148.5,0.043771043771,205.104166667,205.104166667,0.0768918232605,9115.74074074,9115.74074074,0.0768918232605,38.975,1732.22222222
2674,56880,5546,20,26.625,26.625,0.0553990610329,151.0,151.0,0.00662251655629,200.945,200.945,0.0487944462415,6698.16666667,6698.16666667,0.0487944462415,70.795,2359.83333333
2674,56881,5540,16,25.85,25.85,0.0522243713733,150.5,150.5,0.00332225913621,243.109375,243.109375,0.0489105983675,10804.8611111,10804.8611111,0.0489105983675,29.975,1332.22222222
2674,56882,5542,20,26.3,26.3,0.0190114068441,173.5,173.5,0.0259365994236,228.265,228.265,0.0449258537226,10145.1111111,10145.1111111,0.0449258537226,12.87,572.0
2674,56883,5543,16,21.15,21.15,0.120567375887,126.5,126.5,0.0909090909091,169.05,169.05,0.209183673469,6830.3030303,6830.3030303,0.209183673469,34.49375,1393.68686869
2674,56884,5539,20,38.1,38.1,0.00524934383202,162.5,162.5,0.04,309.6275,309.6275,0.045239844652,13761.2222222,13761.2222222,0.045239844652,-15.24,-677.333333333
2675,56876,5545,20,27.175,27.175,0.0101195952162,183.0,183.0,0.016393442623,248.61,248.61,0.00627488837939,10044.8484848,10044.8484848,0.00627488837939,57.4775,2322.32323232
2675,56877,5519,31,45.65,45.65,0.0065717415115,192.405032109,192.405032109,0.0297822705892,283.387380432,283.387380432,0.0363468982355,11449.995169,11449.995169,0.0363468982355,35.9030370757,1450.62776064
2675,56878,5544,20,30.55,30.55,0.0736497545008,196.0,196.0,0.0408163265306,300.29,300.29,0.114123014419,12132.9292929,12132.9292929,0.114123014419,36.755,1485.05050505
2675,56879,5541,12,10.9,10.9,0.00917431192661,199.5,199.5,0.062656641604,181.316666667,181.316666667,0.0717896865521,8058.51851852,8058.51851852,0.0717896865521,62.7625,2789.44444444
2675,56880,5546,20,21.025,21.025,0.00356718192628,187.5,187.5,0.0346666666667,197.13375,197.13375,0.0382291210916,6571.125,6571.125,0.0382291210916,74.60625,2486.875
2675,56881,5540,16,19.75,19.75,0.189873417722,181.0,181.0,0.0276243093923,224.59375,224.59375,0.216362877418,9981.94444444,9981.94444444,0.216362877418,48.490625,2155.13888889
2675,56882,5542,20,21.4,21.4,0.0373831775701,203.5,203.5,0.002457002457,217.725,217.725,0.0349293833965,9676.66666667,9676.66666667,0.0349293833965,23.41,1040.44444444
2675,56883,5543,16,15.1,15.1,0.337748344371,168.0,168.0,0.077380952381,162.69375,162.69375,0.404556106181,6573.48484848,6573.48484848,0.404556106181,40.85,1650.50505051
2675,56884,5539,20,25.5,25.5,0.00392156862745,196.5,196.5,0.0127226463104,250.55,250.55,0.016643384554,11135.5555556,11135.5555556,0.016643384554,43.8375,1948.33333333
2853,56876,5545,20,17.125,17.125,0.0306569343066,193.5,193.5,0.0439276485788,165.46125,165.46125,0.0132886098709,6685.3030303,6685.3030303,0.0132886098709,140.62625,5681.86868687
2853,56877,5519,31,47.175,47.175,0.0482246952835,214.941052189,214.941052189,0.00864470194773,327.228107017,327.228107017,0.0568456989348,13221.3376572,13221.3376572,0.0568456989348,-7.9376895091,-320.71472764
2853,56878,5544,20,27.7,27.7,0.119133574007,218.5,218.5,0.0160183066362,302.045,302.045,0.103312420335,12203.8383838,12203.8383838,0.103312420335,35.0,1414.14141414
2853,56879,5541,12,14.05,14.05,0.0960854092527,198.0,198.0,0.040404040404,232.725,232.725,0.135961614208,10343.3333333,10343.3333333,0.135961614208,11.3541666667,504.62962963
2853,56880,5546,20,22.475,22.475,0.0189098998888,202.0,202.0,0.019801980198,227.0825,227.0825,0.0386973897152,7569.41666667,7569.41666667,0.0386973897152,44.6575,1488.58333333
2853,56881,5540,16,19.25,19.25,0.0285714285714,229.0,229.0,0.0262008733624,275.309375,275.309375,0.00237233112748,12235.9722222,12235.9722222,0.00237233112748,-2.225,-98.8888888889
2853,56882,5542,20,22.4,22.4,0.0446428571429,240.0,240.0,0.025,268.5,268.5,0.0196648044693,11933.3333333,11933.3333333,0.0196648044693,-27.365,-1216.22222222
2853,56883,5543,16,15.65,15.65,0.105431309904,211.5,211.5,0.0260047281324,207.440625,207.440625,0.131076663503,8381.43939394,8381.43939394,0.131076663503,-3.896875,-157.449494949
2853,56884,5539,20,30.65,30.65,0.0407830342577,223.5,223.5,0.0201342281879,342.2325,342.2325,0.0206657754597,15210.3333333,15210.3333333,0.0206657754597,-47.845,-2126.44444444
2854,56876,5545,20,25.74,25.74,0.0190365190365,188.5,188.5,0.0291777188329,242.73425,242.73425,0.0481874725137,9807.44444444,9807.44444444,0.0481874725137,63.35325,2559.72727273
2854,56877,5519,31,45.0,45.0,0.0277777777778,185.497593032,185.497593032,0.00156651255281,269.282416672,269.282416672,0.0293430134917,10880.0976433,10880.0976433,0.0293430134917,50.008000836,2020.5252863
2854,56878,5544,20,30.95,30.95,0.0210016155089,189.0,189.0,0.0529100529101,292.8025,292.8025,0.0738296291869,11830.4040404,11830.4040404,0.0738296291869,44.2425,1787.57575758
2854,56879,5541,12,12.6,12.6,0.00793650793651,206.5,206.5,0.0169491525424,216.854166667,216.854166667,0.0248823133826,9637.96296296,9637.96296296,0.0248823133826,27.225,1210.0
2854,56880,5546,20,22.375,22.375,0.0502793296089,193.5,193.5,0.0077519379845,216.5625,216.5625,0.0580086580087,7218.75,7218.75,0.0580086580087,55.1775,1839.25
2854,56881,5540,16,23.65,23.65,0.00211416490486,190.5,190.5,0.0131233595801,281.575,281.575,0.0110095001332,12514.4444444,12514.4444444,0.0110095001332,-8.490625,-377.361111111
2854,56882,5542,20,21.1,21.1,0.00473933649289,197.0,197.0,0.0355329949239,207.8,207.8,0.0307988450433,9235.55555556,9235.55555556,0.0307988450433,33.335,1481.55555556
2854,56883,5543,16,15.3,15.3,0.248366013072,187.5,187.5,0.008,178.940625,178.940625,0.240844553885,7229.92424242,7229.92424242,0.240844553885,24.603125,994.065656566
2854,56884,5539,20,24.25,24.25,0.101030927835,195.0,195.0,0.0102564102564,236.1925,236.1925,0.0908686770325,10497.4444444,10497.4444444,0.0908686770325,58.195,2586.44444444
2855,56876,5545,20,35.65,35.65,0.162692847125,195.0,195.0,0.0153846153846,348.4575,348.4575,0.177632853361,14079.0909091,14079.0909091,0.177632853361,-42.37,-1711.91919192
2855,56877,5519,31,48.025,48.025,0.0890161374284,217.803522622,217.803522622,0.00043140777692,337.432769744,337.432769744,0.0894441103499,13633.6472624,13633.6472624,0.0894441103499,-18.1423522363,-733.024332779
2855,56878,5544,20,32.35,32.35,0.159196290572,220.0,220.0,0.00454545454545,356.1075,356.1075,0.163623344074,14388.1818182,14388.1818182,0.163623344074,-19.0625,-770.202020202
2855,56879,5541,12,15.65,15.65,0.00319488817891,223.0,223.0,0.00896860986547,290.8375,290.8375,0.0121631495251,12926.1111111,12926.1111111,0.0121631495251,-46.7583333333,-2078.14814815
2855,56880,5546,20,32.375,32.375,0.00694980694981,200.5,200.5,0.0922693266833,324.7675,324.7675,0.0991555497394,10825.5833333,10825.5833333,0.0991555497394,-53.0275,-1767.58333333
2855,56881,5540,16,21.8,21.8,0.0825688073394,223.5,223.5,0.0201342281879,304.0125,304.0125,0.0625385469347,13511.6666667,13511.6666667,0.0625385469347,-30.928125,-1374.58333333
2855,56882,5542,20,22.9,22.9,0.0917030567686,224.5,224.5,0.011135857461,257.315,257.315,0.10273400307,11436.2222222,11436.2222222,0.10273400307,-16.18,-719.111111111
2855,56883,5543,16,18.05,18.05,0.0304709141274,198.0,198.0,0.00505050505051,223.334375,223.334375,0.0254243217149,9023.61111111,9023.61111111,0.0254243217149,-19.790625,-799.621212121
2855,56884,5539,20,31.35,31.35,0.161084529506,204.5,204.5,0.0220048899756,321.69,321.69,0.182442724362,14297.3333333,14297.3333333,0.182442724362,-27.3025,-1213.44444444
2856,56876,5545,20,40.825,40.825,0.0789957134109,219.5,219.5,0.0523917995444,446.2,446.2,0.0267144778126,18028.2828283,18028.2828283,0.0267144778126,-140.1125,-5661.11111111
2856,56877,5519,31,50.05,50.05,0.032967032967,223.202487519,223.202487519,0.00547939851429,360.42911212,360.42911212,0.038439487791,14562.7924089,14562.7924089,0.038439487791,-41.1386946124,-1662.16947929
2856,56878,5544,20,37.95,37.95,0.00131752305665,215.5,215.5,0.00232018561485,408.91,408.91,0.00100266562324,16521.6161616,16521.6161616,0.00100266562324,-71.865,-2903.63636364
2856,56879,5541,12,14.65,14.65,0.0511945392491,212.0,212.0,0.00471698113208,258.879166667,258.879166667,0.0558980219214,11505.7407407,11505.7407407,0.0558980219214,-14.8,-657.777777778
2856,56880,5546,20,31.425,31.425,0.0182975338107,210.5,210.5,0.0166270783848,330.6475,330.6475,0.00167096379074,11021.5833333,11021.5833333,0.00167096379074,-58.9075,-1963.58333333
2856,56881,5540,16,24.85,24.85,0.00201207243461,205.0,205.0,0.131707317073,318.30625,318.30625,0.129729623594,14146.9444444,14146.9444444,0.129729623594,-45.221875,-2009.86111111
2856,56882,5542,20,23.4,23.4,0.0042735042735,217.5,217.5,0.0390804597701,254.5175,254.5175,0.0433467246849,11311.8888889,11311.8888889,0.0433467246849,-13.3825,-594.777777778
2856,56883,5543,16,22.2,22.2,0.0900900900901,201.0,201.0,0.0597014925373,280.3875,280.3875,0.148990236726,11328.7878788,11328.7878788,0.148990236726,-76.84375,-3104.7979798
2856,56884,5539,20,31.9,31.9,0.0,218.0,218.0,0.0504587155963,347.71,347.71,0.0504587155963,15453.7777778,15453.7777778,0.0504587155963,-53.3225,-2369.88888889
2857,56876,5545,20,33.8,33.8,0.00887573964497,194.5,194.5,0.0796915167095,328.9375,328.9375,0.0885046551397,13290.4040404,13290.4040404,0.0885046551397,-22.85,-923.232323232
2857,56877,5519,31,52.85,52.85,0.0198675496689,207.771434669,207.771434669,0.0273574381654,354.024258819,354.024258819,0.00749396165396,14304.0104573,14304.0104573,0.00749396165396,-34.7338413115,-1403.38752774
2857,56878,5544,20,38.5,38.5,0.0103896103896,209.0,209.0,0.0191387559809,402.245,402.245,0.00875088565427,16252.3232323,16252.3232323,0.00875088565427,-65.2,-2634.34343434
2857,56879,5541,12,15.05,15.05,0.063122923588,200.0,200.0,0.025,251.229166667,251.229166667,0.0879840782818,11165.7407407,11165.7407407,0.0879840782818,-7.15,-317.777777778
2857,56880,5546,20,28.6,28.6,0.0681818181818,170.0,170.0,0.0529411764706,242.2225,242.2225,0.0152958540185,8074.08333333,8074.08333333,0.0152958540185,29.5175,983.916666667
2857,56881,5540,16,24.3,24.3,0.0205761316872,228.5,228.5,0.0328227571116,346.8,346.8,0.0122549019608,15413.3333333,15413.3333333,0.0122549019608,-73.715625,-3276.25
2857,56882,5542,20,24.4,24.4,0.016393442623,222.0,222.0,0.036036036036,270.68,270.68,0.0196542042264,12030.2222222,12030.2222222,0.0196542042264,-29.545,-1313.11111111
2857,56883,5543,16,22.65,22.65,0.0816777041943,193.5,193.5,0.0749354005168,272.246875,272.246875,0.00678382442406,10999.8737374,10999.8737374,0.00678382442406,-68.703125,-2775.88383838
2857,56884,5539,20,31.2,31.2,0.0961538461538,210.5,210.5,0.00237529691211,328.305,328.305,0.0937999725865,14591.3333333,14591.3333333,0.0937999725865,-33.9175,-1507.44444444
2858,56876,5545,20,32.2,32.2,0.105590062112,230.0,230.0,0.0521739130435,368.26,368.26,0.0537120512681,14879.1919192,14879.1919192,0.0537120512681,-62.1725,-2512.02020202
2858,56877,5519,31,49.8,49.8,0.0070281124498,242.86508995,242.86508995,0.00406003297429,390.139882754,390.139882754,0.00296816417019,15763.227586,15763.227586,0.00296816417019,-70.8494652467,-2862.60465643
2858,56878,5544,20,36.3,36.3,0.0743801652893,225.5,225.5,0.0110864745011,409.62,409.62,0.0853962208877,16550.3030303,16550.3030303,0.0853962208877,-72.575,-2932.32323232
2858,56879,5541,12,15.0,15.0,0.0666666666667,249.0,249.0,0.0281124497992,310.666666667,310.666666667,0.0386266094421,13807.4074074,13807.4074074,0.0386266094421,-66.5875,-2959.44444444
2858,56880,5546,20,31.2,31.2,0.00320512820513,205.0,205.0,0.117073170732,319.92,319.92,0.120233183296,10664.0,10664.0,0.120233183296,-48.18,-1606.0
2858,56881,5540,16,23.9,23.9,0.0418410041841,235.0,235.0,0.0170212765957,351.28125,351.28125,0.058820389645,15612.5,15612.5,0.058820389645,-78.196875,-3475.41666667
2858,56882,5542,20,22.65,22.65,0.0154525386313,245.0,245.0,0.0163265306122,277.3925,277.3925,0.000874212532783,12328.5555556,12328.5555556,0.000874212532783,-36.2575,-1611.44444444
2858,56883,5543,16,19.6,19.6,0.0612244897959,235.0,235.0,0.0212765957447,288.25,288.25,0.0823937554206,11646.4646465,11646.4646465,0.0823937554206,-84.70625,-3422.47474747
2858,56884,5539,20,28.05,28.05,0.0445632798574,227.0,227.0,0.0132158590308,318.18,318.18,0.0313658935194,14141.3333333,14141.3333333,0.0313658935194,-23.7925,-1057.44444444
2859,56876,5545,20,36.4,36.4,0.0384615384615,213.5,213.5,0.00234192037471,388.605,388.605,0.0407997838422,15701.2121212,15701.2121212,0.0407997838422,-82.5175,-3334.04040404
2859,56877,5519,31,47.25,47.25,0.0021164021164,199.306454466,199.306454466,0.0292184484095,303.800397293,303.800397293,0.0313329129616,12274.763527,12274.763527,0.0313329129616,15.490020215,625.859402625
2859,56878,5544,20,31.45,31.45,0.0588235294118,222.0,222.0,0.0315315315315,348.4475,348.4475,0.0273427130342,14078.6868687,14078.6868687,0.0273427130342,-11.4025,-460.707070707
2859,56879,5541,12,14.9,14.9,0.0268456375839,207.5,207.5,0.00240963855422,257.629166667,257.629166667,0.0244375798548,11450.1851852,11450.1851852,0.0244375798548,-13.55,-602.222222222
2859,56880,5546,20,33.5,33.5,0.0641791044776,213.5,213.5,0.0632318501171,356.16125,356.16125,0.000951114137206,11872.0416667,11872.0416667,0.000951114137206,-84.42125,-2814.04166667
2859,56881,5540,16,21.75,21.75,0.00689655172414,211.5,211.5,0.00709219858156,287.521875,287.521875,0.0139880661254,12778.75,12778.75,0.0139880661254,-14.4375,-641.666666667
2859,56882,5542,20,21.8,21.8,0.0642201834862,221.5,221.5,0.038374717833,240.84,240.84,0.0259093173891,10704.0,10704.0,0.0259093173891,0.295,13.1111111111
2859,56883,5543,16,15.7,15.7,0.108280254777,187.5,187.5,0.008,184.14375,184.14375,0.11617961511,7440.15151515,7440.15151515,0.11617961511,19.4,783.838383838
2859,56884,5539,20,28.05,28.05,0.0944741532977,219.5,219.5,0.0250569476082,308.5775,308.5775,0.119248811077,13714.5555556,13714.5555556,0.119248811077,-14.19,-630.666666667
2860,56876,5545,20,34.425,34.425,0.0254175744372,197.5,197.5,0.00253164556962,339.96875,339.96875,0.027947421638,13736.1111111,13736.1111111,0.027947421638,-33.88125,-1368.93939394
2860,56877,5519,31,53.72,53.72,0.0394638868206,198.142472212,198.142472212,0.00453671338841,343.423203495,343.423203495,0.0439927239125,13875.6849897,13875.6849897,0.0439927239125,-24.1327859871,-975.062060084
2860,56878,5544,20,38.95,38.95,0.0603337612323,187.5,187.5,0.00266666666667,365.215,365.215,0.0629902933888,14756.1616162,14756.1616162,0.0629902933888,-28.17,-1138.18181818
2860,56879,5541,12,16.35,16.35,0.0642201834862,213.0,213.0,0.037558685446,289.5125,289.5125,0.026725961746,12867.2222222,12867.2222222,0.026725961746,-45.4333333333,-2019.25925926
