Culture_ID,Plant_ID,Subspecies,55_12,69_12,55_810,69_810,188,190,191
58243,1213951,[St.Jumbo.n].118,114.0,,2.9408,0.724,,185.878512514,21.1901504266
58243,1213952,[St.Jumbo.n].119,150.3,,2.5215,0.665,,203.418905612,30.5738615134
58243,1213953,[St.Jumbo.n].120,251.9,,2.9159,0.753,,197.926308618,49.8576371409
58243,1213954,[St.Jumbo.n].121,263.4,,2.8946,0.700,,181.516613764,47.8114760653
58243,1213955,[St.Jumbo.n].122,88.2,,3.4539,0.840,,182.89033536,16.1309275788
58243,1213956,[St.Jumbo.n].123,62.7,,2.5003,0.583,,172.859019358,10.8382605137
58243,1213957,[St.Jumbo.n].124,339.9,,2.8412,0.839,,234.984761509,79.871320437
58243,1213958,[St.Jumbo.n].125,249.7,,2.7336,0.701,,196.125396254,48.9725114446
58243,1213959,[St.Jumbo.n].126,222.1,,2.6439,0.570,,155.277604788,34.4871560235
58243,1213960,[St.Jumbo.n].127,202.7,,2.6788,0.734,,213.690285053,43.3150207802
58243,1213961,[St.Jumbo.n].128,84.3,,2.7148,0.564,,147.437110505,12.4289484156
58243,1213962,[St.Jumbo.n].129,69.7,,2.2180,0.521,,174.583302976,12.1684562174
58243,1213963,[St.Maxi.n].118,36.91,,3.8669,1.120,,229.324694277,8.46437446577
58243,1213964,[St.Maxi.n].119,29.0,,2.9335,0.808,,215.125895517,6.23865097
58243,1213965,[St.Maxi.n].120,124.2,,2.5486,0.732,,226.903511026,28.1814160694
58243,1213966,[St.Maxi.n].121,159.0,,3.7640,1.004,,206.424513284,32.8214976121
58243,1213967,[St.Maxi.n].122,46.7,,2.8567,0.787,,215.179701369,10.0488920539
58243,1213968,[St.Maxi.n].123,39.2,,2.8124,0.863,,246.542354857,9.6644603104
58243,1213969,[St.Maxi.n].124,148.3,,2.6562,0.690,,199.456595663,29.5794131368
58243,1213970,[St.Maxi.n].125,304.4,,3.3548,1.010,,240.74816609,73.2837417579
58243,1213971,[St.Maxi.n].126,133.4,,2.3133,0.582,,191.275639606,25.5161703234
58243,1213972,[St.Maxi.n].127,108.0,,2.5747,0.665,,197.969518352,21.380707982
58243,1213973,[St.Maxi.n].128,11.3,,2.8493,0.721,,192.731607447,2.17786716416
58243,1213974,[St.Maxi.n].129,13.0,,2.3744,0.604,,194.067053908,2.52287170081
58243,1213975,[St.Power.n].123,128.3,,2.5525,0.761,,237.826079334,30.5130859786
58243,1213976,[St.Power.n].124,71.6,,2.6730,0.747,,219.148279461,15.6910168094
58243,1213977,[St.Power.n].125,211.8,,3.0782,0.896,,230.766202131,48.8762816114
58243,1213978,[St.Power.n].126,194.6,,3.1481,0.947,,240.503365427,46.801954912
58243,1213979,[St.Power.n].127,84.9,,2.1355,0.666,,251.557756263,21.3572535067
58243,1213980,[St.Power.n].128,93.0,,2.7369,0.765,,219.200317988,20.3856295728
58243,1213981,[St.Power.n].129,278.4,,2.7395,0.958,,289.385850155,80.5650206832
58243,1213982,[St.Power.n].130,252.2,,3.3578,1.055,,253.88081738,64.0287421433
58243,1213983,[St.Power.n].131,293.5,,3.0704,0.783,,194.702633142,57.1452228273
58243,1213984,[St.Power.n].132,196.4,,2.1983,0.546,,188.060743347,36.9351299934
58243,1213985,[St.Power.n].133,58.4,,3.0207,0.831,,214.788797597,12.5436657796
58243,1213986,[St.Power.n].134,65.3,,2.2400,0.639,,224.954857143,14.6895521714
58243,1213987,[St.Pirol.n].118,246.1,,2.6427,0.632,,178.836354827,44.0116269228
58243,1213988,[St.Pirol.n].119,239.6,,3.2081,0.770,,179.704455815,43.0571876133
58243,1213989,[St.Pirol.n].120,447.5,,2.0120,0.463,,169.806284294,75.9883122217
58243,1213990,[St.Pirol.n].121,400.5,,3.1684,0.905,,225.32012713,90.2407109157
58243,1213991,[St.Pirol.n].122,194.9,,2.7511,0.758,,215.213153175,41.9450435538
