culture,cultivar,aliquot,sample,C6,C6_log,Glu,Glu_log,Fru,Fru_log,Sac,Sac_log,treatment
44443,2674,1053952,862977,75.3470459375,4.32210471975853,7.21928078503,1.97675533368113,8.81423816777,2.17636838758524,17.5865037728,2.86713177678784,169
44443,2674,1116780,864953,94.8289706812,4.5520749604784,6.06846942944,1.80310641997064,7.26506903525,1.98307779942032,16.1968303786,2.7848155674533,170
44443,2871,1054424,862881,126.083532099,4.83694464046177,9.74472396283,2.27672600652755,11.7748747884,2.46596800616441,20.3827142889,3.01468720287633,169
44443,2872,1053620,863099,115.94684646,4.75313186591901,8.95288910524,2.19197628525117,9.19057642662,2.21817865764541,16.955028925,2.83056448156258,170
44443,2880,1115529,865075,97.1780335082,4.5765446932122,6.93856828567,1.93709545434136,6.34625148079,1.84786432061251,15.0194618379,2.70934681599369,169
44443,2857,1054080,863009,53.0164296106,3.97060185816716,7.53010879066,2.01890948933825,8.38403865352,2.12632973795928,19.2134219143,2.95560909284294,170
44443,2877,1116908,864985,97.3018295709,4.577817792416,9.42054560436,2.24289300669443,7.99064136084,2.07827102699974,16.1074507432,2.77928194402195,170
44443,2674,1054552,862913,184.514102944,5.21772589928016,5.38025173709,1.68273516435968,6.84759311993,1.92389722117617,17.6896155598,2.87297777587224,169
44443,2866,1053748,863131,56.7486834146,4.03863245634966,7.12120628208,1.96307713271411,9.29945761542,2.2299560775359,12.4411662693,2.52101083446808,170
44443,2859,1116524,864889,182.218479591,5.20520640444122,12.3977317179,2.51751352990219,15.1720493052,2.71945487357091,20.0704537951,2.99924877317047,170
44443,2867,1115657,865107,212.282112032,5.35791610718474,8.624393038,2.15459458803537,11.0652589922,2.40381037966379,19.2828410378,2.95921563505883,169
44443,2868,1054208,863041,50.4759688611,3.92149735888541,2.70773396514,0.99611210987701,4.23083432053,1.44239921250513,12.6078862752,2.53432251302408,170
44443,2858,1053824,862945,148.969903181,5.00374429346849,4.45350981108,1.49369250689174,4.78339942672,1.56515147087481,14.8450327036,2.69766531121767,169
44443,2863,1116652,864921,68.6950487003,4.22967712531081,14.9070129827,2.70183177220091,15.7686900337,2.75802633054308,18.3106373343,2.9074821660708,170
44443,2855,1113560,865139,173.95339736,5.15878743207696,5.04445630524,1.61828987896735,5.61399169455,1.72526199852107,19.8116953279,2.98627243644804,169
44443,2856,1054296,862849,78.8542485872,4.36760119384967,8.39887332647,2.12809756905214,7.8494143238,2.06043892057785,16.8369937246,2.82357847296074,169
44443,2674,1053492,863067,113.698673741,4.73355173614141,10.3171574168,2.33380827800319,11.9167167062,2.47794217958477,21.5940504072,3.07241783263731,170
44443,2853,1115401,865043,185.047751726,5.22061390920959,9.1595382197,2.21479576471877,9.24677191703,2.22427450867326,20.6743862673,3.02889555569527,169
44443,2865,1053964,862980,85.8683725679,4.45281557222693,4.2462753217,1.44604220378368,4.55509534509,1.51624646245553,13.3950685148,2.59488661793683,169
44443,2867,1116792,864956,102.362571821,4.62852113622996,7.06508255467,1.95516470108875,8.62597288651,2.1547777549921,16.2661203003,2.78908443553059,170
44443,2874,1054436,862884,76.5273545215,4.33764825236207,5.44408828009,1.69453030069191,6.22181517725,1.82806169331712,16.7600146337,2.81899596818601,169
44443,2861,1053632,863102,128.373154169,4.85494128971497,4.70092702281,1.54775972816272,4.97979557501,1.60538884099924,15.138578548,2.71724635641536,170
44443,2870,1115541,865078,133.64392939,4.89517901985487,11.7613927057,2.46482236281396,8.65769185282,2.15844815735153,15.7226951101,2.75510521696895,169
44443,2674,1054092,863012,62.3213539912,4.1323041277578,6.21039900261,1.82622514550936,7.18077384677,1.97140715535416,15.9723699348,2.7708603503903,170
44443,2870,1116920,864988,70.5767905501,4.25670134470117,7.43254677931,2.00586856975662,11.6797163675,2.45785369350078,19.2347776541,2.95671997669373,170
44443,2674,1054564,862916,136.383667136,4.91547199583498,6.7023117949,1.90245251089785,8.21033194875,2.10539335489423,17.6354579103,2.86991152934467,169
44443,2878,1053760,863134,125.109229525,4.82918719192972,4.7456126409,1.55722053666747,4.18257385299,1.4309268113416,15.0411790483,2.71079170961791,170
