Cultivar,mean_Knollenmasse_kgFW,median_Knollenmasse_kgFW,cv_Knollenmasse_kgFW,mean_Staerkegehalt_g/kg,median_Staerkegehalt_g/kg,cv_Staerkegehalt_g/kg,mean_Staerkeertrag_g/plant,median_Staerkeertrag_g/plant,cv_Staerkeertrag_g/plant,mean_StaerkeertragRel,median_StaerkeertragRel,cv_StaerkeertragRel,mean_Staerkeertrag_kg/ha,median_Staerkeertrag_kg/ha,cv_Staerkeertrag_kg/ha
2853,24.0527777778,22.4,0.401273891656,214.549005799,214.941052189,0.0665746707226,260.891595224,268.5,0.209462306608,0.974919078826,1.00335073056,0.209462306608,10864.9230394,11933.3333333,0.24547378655
2854,24.5516666667,23.65,0.360866599933,192.555288115,190.5,0.0314354567601,238.082662038,236.1925,0.148256298248,1.03477646283,1.02656126912,0.148256298248,9872.44753089,9807.44444444,0.174496857884
2855,28.6833333333,31.35,0.332897029563,211.867058069,217.803522622,0.054057046948,307.106071638,321.69,0.134372905335,1.04646495941,1.09615974376,0.134372905335,12680.160863,13511.6666667,0.137873889278
2856,30.8055555556,31.425,0.333289198771,213.578054169,215.5,0.0316051773381,333.998558754,330.6475,0.184508093628,1.01002792332,0.999894158294,0.184508093628,13764.601607,14146.9444444,0.177943055307
2857,30.15,28.6,0.341370183945,203.974603852,207.771434669,0.0796945219921,310.743366721,328.305,0.164474168321,1.04043247665,1.09923242402,0.164474168321,12902.3693812,13290.4040404,0.188442289622
2858,28.7444444444,28.05,0.33849247061,232.707232217,235.0,0.0534004352428,337.078922158,319.92,0.127207979278,1.02334485488,0.971251729052,0.127207979278,13932.5537198,14141.3333333,0.136316751326
2859,27.8666666667,28.05,0.355551008673,210.645161607,213.5,0.0504487192542,297.302937662,303.800397293,0.201341056848,1.0149885657,1.03717081282,0.201341056848,12223.816271,12274.763527,0.180844605081
2860,29.8077777778,28.675,0.374645882136,197.238052468,197.5,0.0714173724717,296.077161499,306.3625,0.182772750413,0.964342192002,0.997842195261,0.182772750413,12272.4936184,13616.1111111,0.200272638207
2861,31.6277777778,31.8,0.356191951374,214.879655512,216.0,0.0414279190274,342.623267588,345.74,0.155699595791,1.00229865825,1.0114162431,0.155699595791,14079.7884024,13213.75,0.129197869095
2862,22.1888888889,23.825,0.381778607989,214.427553133,219.5,0.0744683181404,239.951226774,244.641666667,0.198858575197,0.961856868415,0.980658738642,0.198858575197,9945.62438893,10872.962963,0.216422609932
2863,27.9722222222,27.6,0.334241975311,225.565408632,225.0,0.0486361883503,319.481840282,310.7,0.13728312545,1.03558495829,1.00711904707,0.13728312545,13166.298962,13451.1111111,0.127399888707
2864,29.2666666667,30.6,0.382286244133,207.980554749,209.0,0.062303165834,306.029167192,309.3475,0.203127358016,0.999306105284,1.01014177257,0.203127358016,12642.2131713,13190.7407407,0.204272648272
2865,23.4861111111,24.6,0.435702071911,239.006829985,232.5,0.0667768800204,282.296401405,276.22875,0.300011594292,1.05631072846,1.03360648837,0.300011594292,11602.9965775,11157.8333333,0.283334558327
2866,31.0472222222,32.85,0.353820722916,211.785321199,212.0,0.0643862302042,330.028091766,344.334375,0.182148627614,1.00659007823,1.05022443276,0.182148627614,13639.970365,13989.2892617,0.188370752075
2867,24.4222222222,24.25,0.344728579973,221.447747139,224.0,0.0529407772083,272.74319018,276.325,0.121615165598,0.973861094767,0.986650360855,0.121615165598,11233.8501363,10818.8888889,0.10961275442
2868,25.5194444444,25.35,0.381443675244,207.281893595,214.0,0.0714712487605,268.724891839,286.9125,0.238028939177,0.951618544306,1.01602517625,0.238028939177,11117.353374,10632.2222222,0.247982906304
2869,30.7277777778,33.8,0.379387776261,201.24031674,199.0,0.0872409528196,307.472291942,315.67375,0.167034827427,0.994903022812,1.02144087883,0.167034827427,12682.4875252,12128.8888889,0.164395946074
2870,22.5527777778,20.6,0.393730159927,219.798861675,220.689755072,0.0496272248022,249.908591982,257.2675,0.161410049782,1.01574406886,1.04565407361,0.161410049782,10332.4484415,10833.3333333,0.170287671491
2871,24.4638888889,21.2,0.398750682487,177.148755332,180.5,0.0811507773785,216.421999948,224.1075,0.167514601579,0.983996339706,1.01893966304,0.167514601579,9012.27099491,9092.44444444,0.2043688754
2872,21.5555555556,20.25,0.310789050968,193.406315861,194.156842751,0.0348597392466,212.044511004,215.575,0.114728171003,0.983622920116,1.0,0.114728171003,8784.24791935,9158.25652671,0.140982217023
2873,20.8666666667,20.85,0.321737791285,184.886468968,184.5,0.0669601516583,196.171670607,197.201285461,0.132143210237,0.984439250809,0.989606119564,0.132143210237,8129.11968782,8245.11111111,0.160524847185
2874,20.3361111111,19.75,0.308061488782,225.906156402,227.0,0.041250029964,234.457051639,228.225,0.120683663121,0.9882559185,0.961987303955,0.120683663121,9731.91258027,10104.8888889,0.161498937531
2875,26.1777777778,24.85,0.417505479757,209.432187501,208.0,0.0531580125172,272.73763926,277.975,0.193846974432,0.981023876623,0.99986240566,0.193846974432,11229.8186177,11231.3131313,0.184989432333
2876,23.2972222222,21.125,0.362954008333,181.387944691,181.0,0.036291193999,212.566435121,227.5,0.159863187773,0.993458688941,1.06325277368,0.159863187773,8798.3763068,9191.91919192,0.181772648411
2877,30.0305555556,27.325,0.469119928614,215.507954931,225.5,0.112430839392,325.481354911,325.7375,0.292967305854,1.01043510155,1.01123028685,0.292967305854,13468.2304828,13593.7777778,0.294743704859
2878,28.1888888889,26.675,0.414026686231,207.526147988,202.5,0.0484690638256,292.089827629,269.54,0.196822544954,1.01547012804,0.937074120428,0.196822544954,12039.5039783,10790.6944444,0.191100890276
2879,28.1194444444,24.65,0.339202358676,210.75353848,211.5,0.0563992181704,301.453654789,296.64,0.180121158402,1.0306372122,1.01417985077,0.180121158402,12432.3862578,12095.3703704,0.174814942433
2880,28.7194444444,29.15,0.403142583405,211.81196021,214.307641886,0.0660496392812,307.6374112,312.29375,0.239559802071,0.9754816867,0.990246383909,0.239559802071,12699.641053,13708.0,0.239436854727
2881,29.3333333333,27.85,0.397637976989,208.763986239,212.0,0.0852669304744,307.636638532,277.054166667,0.238337631236,1.06380105739,0.958047509751,0.238337631236,12697.1269964,12313.5185185,0.233322986731
2882,24.2055555556,24.05,0.372663003194,216.480336545,213.0,0.0485741142635,263.232422696,246.175,0.156129718574,1.07490066028,1.00524725387,0.156129718574,10880.414385,10596.0,0.161700279044
2673,28.0305555556,27.2,0.310792135297,157.829519699,148.5,0.131260681384,222.891388187,215.0475,0.152807623525,1.01137277123,0.975781019579,0.152807623525,9222.53616693,8753.53535354,0.176329741888
2674,34.3722222222,26.625,0.407919865848,151.813721115,150.5,0.0783912223501,262.421431128,243.109375,0.24824918013,1.06346827334,0.985205766737,0.24824918013,10887.7131732,10804.8611111,0.259102122469
2675,24.1166666667,21.4,0.392965845825,189.711670234,192.405032109,0.0548930813322,229.5889219,224.59375,0.187725772324,0.966909024252,0.945871960496,0.187725772324,9513.89644227,9981.94444444,0.201845067202
382,27.8388888889,24.25,0.433251866592,156.275429342,162.5,0.117623617769,219.753475821,227.7875,0.260929074756,0.927229855786,0.961128691983,0.260929074756,9187.21451129,10123.8888889,0.291302003666
