Culture_ID,Plant_ID,Subspecies,55,69,163,164,188,225,190,191
44443,989527,[St.Tomensa.n].2,,,,,8.766000,,195.000000,1.709370
44443,989528,[St.Tomensa.n].3,,,,,8.158000,,229.000000,1.868182
44443,989529,[St.Tomensa.n].4,,,,,7.078000,,191.000000,1.351898
44443,989530,[St.Tomensa.n].5,,,,,8.432000,,223.000000,1.880336
44443,989531,[St.Tomensa.n].6,,,,,6.682000,,199.000000,1.329718
44443,989532,[St.Tomensa.n].7,,,,,8.180000,,220.000000,1.799600
44443,989533,[St.Tomensa.n].8,,,,,6.392000,,209.000000,1.335928
44443,989534,[St.Saturna.n].14,,,,,9.116000,,208.000000,1.896128
44443,989535,[St.Saturna.n].15,,,,,8.226000,,201.000000,1.653426
44443,989536,[St.Saturna.n].16,,,,,9.774000,,203.000000,1.984122
44443,989537,[St.Saturna.n].17,,,,,7.970000,,199.000000,1.586030
44443,989538,[St.Saturna.n].18,,,,,7.628000,,196.000000,1.495088
44443,989539,[St.Saturna.n].19,,,,,9.386000,,190.000000,1.783340
44443,989540,[St.Saturna.n].20,,,,,8.634000,,217.000000,1.873578
44443,989541,[St.Saturna.n].21,,,,,8.512000,,190.000000,1.617280
44443,989542,[St.Tomba.n].1,,,,,8.480000,,238.000000,2.018240
44443,989543,[St.Tomba.n].2,,,,,7.378000,,201.000000,1.482978
44443,989544,[St.Tomba.n].3,,,,,7.802000,,226.000000,1.763252
44443,989545,[St.Tomba.n].4,,,,,7.392000,,220.000000,1.626240
44443,989546,[St.Tomba.n].5,,,,,8.844000,,228.000000,2.016432
44443,989547,[St.Tomba.n].6,,,,,7.604000,,207.000000,1.574028
44443,989548,[St.Tomba.n].7,,,,,8.220000,,217.000000,1.783740
44443,989549,[St.Tomba.n].8,,,,,7.394000,,201.000000,1.486194
44443,989550,[St.Jumbo.n].1,,,,,9.654000,,222.000000,2.143188
44443,989551,[St.Jumbo.n].2,,,,,6.848000,,187.000000,1.280576
44443,989552,[St.Jumbo.n].3,,,,,11.326000,,214.000000,2.423764
44443,989553,[St.Jumbo.n].4,,,,,8.504000,,204.000000,1.734816
44443,989554,[St.Jumbo.n].5,,,,,10.816000,,217.000000,2.347072
44443,989555,[St.Jumbo.n].6,,,,,9.978000,,200.000000,1.995600
